"","id","state","prop","mu.SL","mu.abs.TA","sd.SL","sd.abs.TA","state_ordered"
"1","1_1",1,0.05,0.28143858603514,2.72207700603288,0.389138235753196,0.574737424287719,1
"2","1_1",2,0.292,1.52689339771778,2.12311845431215,2.50663353551425,0.974878324609392,2
"3","1_1",3,0.658,5.03699227660541,1.4063602632883,5.19169176283634,1.16917861375463,3
"4","2_1",1,0.05,0.291068544043032,2.57543041772465,0.496575707138931,0.754509946069417,1
"5","2_1",2,0.284,1.14569596315878,2.26234855383957,1.53608953192069,0.873809213925464,2
"6","2_1",3,0.666,4.94202213045068,1.45693798821343,5.24631357320555,1.18091433376887,3
"7","3_1",1,0.106,0.271325019537212,2.7110219772289,0.48861569667868,0.532786434392327,1
"8","3_1",2,0.396,2.21447383132496,2.05461408546889,3.60635831693673,1.08505893790448,2
"9","3_1",3,0.498,6.61939788923456,1.06343467713863,5.00034525006117,1.10803171700333,3
"10","4_1",1,0.136,1.26326121439145,1.84608569860926,1.16132997568989,1.00870329202899,1
"11","4_1",2,0.576,3.69170060321585,1.66306348767014,4.60428476842619,1.15484795323645,2
"12","4_1",3,0.288,7.74428383040621,0.766504123725729,4.55189192279899,0.891184538769356,3
"13","5_1",1,0.275,1.14990439844286,1.9904477990769,1.25688889792562,0.952928731911341,1
"14","5_1",2,0.334,2.42544593462794,1.85519824465242,3.56410912522633,1.10937012921112,2
"15","5_1",3,0.391,7.84451559050118,0.911544117579382,4.84126865767252,1.00634747844683,3
"16","1_2",1,0.173,0.737104717360339,2.40744496852826,1.03716022094621,0.813163339394366,1
"17","1_2",2,0.817,4.71521277243498,1.41066744497031,5.00079667251512,1.18125872254757,2
"18","1_2",3,0.01,10.8690380252192,0.132843376362481,3.52026566430159,0.115437187628433,3
"19","2_2",1,0.062,0.566546496684888,2.6678215722117,0.802394696499095,0.620222753572598,1
"20","2_2",2,0.106,0.965124994096123,2.00550015645186,1.03595983998794,1.00035245147344,2
"21","2_2",3,0.832,4.97279184456773,1.39260013202874,4.96105128367417,1.16098391947173,3
"22","3_2",1,0.011,0.135145892478284,2.76087438290136,0.21146831580857,0.396693747066555,1
"23","3_2",2,0.227,0.987888693324706,2.17994104559679,1.16144014504084,0.940107157034578,2
"24","3_2",3,0.762,5.00364399388748,1.44177875349493,5.04662363803647,1.16224129773671,3
"25","4_2",1,0.27,0.873230066347193,2.19577169717887,1.06596339452975,0.92005141219958,1
"26","4_2",2,0.593,4.507405387961,1.51220282685822,4.78304883444058,1.16793269204147,2
"27","4_2",3,0.137,8.88685674334364,0.67187247727034,4.64992937636216,0.724404431562768,3
"28","5_2",1,0.149,0.84650797331117,2.29128444349682,0.959042986186387,0.865335612951728,1
"29","5_2",2,0.213,3.54880595849785,1.57893021766634,3.94672615894582,1.10628645195979,2
"30","5_2",3,0.638,5.3340852053532,1.45197876262137,5.28744934249356,1.18733922454832,3
