"","mean_1","mean_2","mean_3","concentration_1","concentration_2","concentration_3"
"1",3.11346515095894,-2.47297304169746,-0.00826692185124069,0.813354980887247,0.153986950773289,0.820860878974554
"2",3.1216356552359,0.217027684963623,0.0523630111129783,0.791334542702352,0.0680709175148022,0.823412160875341
"3",-3.11696319892389,0.0800999446944229,0.0107651554646601,0.805475356188585,0.0707193829966596,0.806192176749352
"4",-3.13425540389799,-0.0965167607953698,-0.00244489636020168,0.764410143703144,0.0423316527052111,0.797082658648376
"5",-3.10283832886519,1.2691429278721,0.0208943171123313,0.750201164036621,0.0164167530960269,0.836455313187422
"6",-3.13110510713511,-0.945051927804173,0.00371883028376408,0.796795037386001,0.027438365710543,0.803412252365594
"7",-3.13734988571551,-2.71443986313107,-0.00246259859021533,0.78629586311359,0.00496299965957669,0.786343684779616
"8",3.12681888249261,-0.119561551044456,0.00139589866784506,0.788830129116389,0.0479444118379662,0.79576103705038
"9",-3.12748699320017,-0.109518847949557,-0.0168063313101587,0.784949572736282,0.0280498220559648,0.790632061922637
"10",3.1327067634566,0.411832427738118,-0.0135067761377093,0.795019519401882,0.0727788218133973,0.797952030283642
"11",-3.13485206700464,-0.0446765997265228,-0.00515094423772991,0.774090812710845,0.0255613627868632,0.802118275503621
"12",3.13335254391466,0.142060200248778,-0.00460731016586315,0.77382451009233,0.0228702228197837,0.803908027904062
"13",3.13812737280539,0.0573648143043893,-0.00635362255443376,0.801122915793038,0.0454052471780287,0.79093460339975
"14",-3.13624091404659,0.311236861750716,0.00438501798842451,0.792765178155683,0.0195158075602669,0.818765430095297
"15",-3.13217325322295,0.273759179612751,0.00441939377214463,0.799589916590441,0.0124371364768727,0.807895962583356
"16",-3.13999474990962,-1.47706811380694,-0.00968919720886006,0.792911375407138,0.00237419069490608,0.798103501855328
"17",3.13877372966498,-1.09012612673835,-0.00297964968803713,0.789800742346428,0.0300109935740964,0.807575058316394
"18",3.13900348019212,0.678968974756063,0.00290620825830013,0.786143993225733,0.004663974370815,0.798194659782764
"19",3.1403474020225,-0.761389720436739,-0.00169039920497222,0.789005251692803,0.00343384455247364,0.803063110896123
"20",-3.13729246326775,0.780820441651845,-0.00323483877779775,0.782688812637119,0.0281412656913402,0.807551472261546
