"id","bin","behav","prop","var"
"3_1",4,"2",0.017001099067433,"Turning Angle"
"3_1",5,"2",0.00415710007055302,"Turning Angle"
"3_1",6,"2",0.00604315869339565,"Turning Angle"
"3_1",7,"2",0.0440852040410181,"Turning Angle"
"3_1",8,"2",0.410036130079907,"Turning Angle"
"3_1",1,"3",0.00583947944453198,"Turning Angle"
"3_1",2,"3",0.0616576641445861,"Turning Angle"
"3_1",3,"3",0.340736158135283,"Turning Angle"
"3_1",4,"3",0.1018676320727,"Turning Angle"
"3_1",5,"3",0.0625183659050218,"Turning Angle"
"3_1",6,"3",0.292162610360135,"Turning Angle"
"3_1",7,"3",0.101219364112961,"Turning Angle"
"3_1",8,"3",0.0339987258247815,"Turning Angle"
"4_1",1,"1",0.0412682273505144,"Step Length"
"4_1",2,"1",0.238403277022833,"Step Length"
"4_1",3,"1",0.580135647124478,"Step Length"
"4_1",4,"1",0.0949367560593701,"Step Length"
"4_1",5,"1",0.0452560924428051,"Step Length"
"4_1",1,"2",0.575984036029078,"Step Length"
"4_1",2,"2",0.400131822589192,"Step Length"
"4_1",3,"2",0.00298070491622436,"Step Length"
"4_1",4,"2",0.00949166358577151,"Step Length"
"4_1",5,"2",0.011411772879734,"Step Length"
"4_1",1,"3",0.00490103168725641,"Step Length"
"4_1",2,"3",0.00528624026958751,"Step Length"
"4_1",3,"3",0.0105707304860574,"Step Length"
"4_1",4,"3",0.5167425869581,"Step Length"
"4_1",5,"3",0.462499410598999,"Step Length"
"4_1",1,"1",0.0850883376992455,"Turning Angle"
"4_1",2,"1",0.125524854293063,"Turning Angle"
"4_1",3,"1",0.112860224553111,"Turning Angle"
"4_1",4,"1",0.178876207974848,"Turning Angle"
"4_1",5,"1",0.116535169430841,"Turning Angle"
"4_1",6,"1",0.0972242163401655,"Turning Angle"
"4_1",7,"1",0.164772614470679,"Turning Angle"
"4_1",8,"1",0.119118375238047,"Turning Angle"
"4_1",1,"2",0.502160042442968,"Turning Angle"
"4_1",2,"2",0.037970518363198,"Turning Angle"
"4_1",3,"2",0.00178017433130841,"Turning Angle"
"4_1",4,"2",0.00100329411983605,"Turning Angle"
"4_1",5,"2",0.0041911787021092,"Turning Angle"
"4_1",6,"2",0.00111189137032519,"Turning Angle"
"4_1",7,"2",0.00942149968018574,"Turning Angle"
"4_1",8,"2",0.442361400990069,"Turning Angle"
"4_1",1,"3",0.0092274675909987,"Turning Angle"
"4_1",2,"3",0.00377561737317163,"Turning Angle"
"4_1",3,"3",0.0251905942896643,"Turning Angle"
"4_1",4,"3",0.408197898153131,"Turning Angle"
"4_1",5,"3",0.533190514262666,"Turning Angle"
"4_1",6,"3",0.00629898077638249,"Turning Angle"
"4_1",7,"3",0.00569766993956115,"Turning Angle"
"4_1",8,"3",0.00842125761442474,"Turning Angle"
"5_1",1,"1",0.0849048675959551,"Step Length"
"5_1",2,"1",0.0298353236692178,"Step Length"
"5_1",3,"1",0.0642340382918277,"Step Length"
"5_1",4,"1",0.475164657322963,"Step Length"
"5_1",5,"1",0.345861113120037,"Step Length"
"5_1",1,"2",0.0411331365845345,"Step Length"
"5_1",2,"2",0.398401223283852,"Step Length"
"5_1",3,"2",0.539844946680196,"Step Length"
"5_1",4,"2",0.0192849716341084,"Step Length"
"5_1",5,"2",0.00133572181730864,"Step Length"
"5_1",1,"3",0.035972461350975,"Step Length"
"5_1",2,"3",0.0586333159853883,"Step Length"
"5_1",3,"3",0.845128692617273,"Step Length"
"5_1",4,"3",0.0535494900502642,"Step Length"
"5_1",5,"3",0.0067160399960991,"Step Length"
"5_1",1,"1",0.0713596451411476,"Turning Angle"
"5_1",2,"1",0.0184810903640689,"Turning Angle"
"5_1",3,"1",0.04974053659592,"Turning Angle"
"5_1",4,"1",0.331757546318521,"Turning Angle"
"5_1",5,"1",0.371978650041475,"Turning Angle"
"5_1",6,"1",0.0831275683034577,"Turning Angle"
"5_1",7,"1",0.0104711392837301,"Turning Angle"
"5_1",8,"1",0.0630838239516794,"Turning Angle"
"5_1",1,"2",0.14900164220786,"Turning Angle"
"5_1",2,"2",0.151936264576082,"Turning Angle"
"5_1",3,"2",0.156088541077076,"Turning Angle"
"5_1",4,"2",0.0142879332817312,"Turning Angle"
"5_1",5,"2",0.0925852363927699,"Turning Angle"
"5_1",6,"2",0.0437721465975592,"Turning Angle"
"5_1",7,"2",0.198535865971206,"Turning Angle"
"5_1",8,"2",0.193792369895717,"Turning Angle"
"5_1",1,"3",0.114267888609107,"Turning Angle"
"5_1",2,"3",0.0203485938047125,"Turning Angle"
"5_1",3,"3",0.0562395798438293,"Turning Angle"
"5_1",4,"3",0.453602767136829,"Turning Angle"
"5_1",5,"3",0.0486739006541399,"Turning Angle"
"5_1",6,"3",0.270208380187818,"Turning Angle"
"5_1",7,"3",0.0210597182557049,"Turning Angle"
"5_1",8,"3",0.0155991715078589,"Turning Angle"
"1_2",1,"1",0.034683319073817,"Step Length"
"1_2",2,"1",0.242164825849397,"Step Length"
"1_2",3,"1",0.573856857265418,"Step Length"
"1_2",4,"1",0.101914573269411,"Step Length"
"1_2",5,"1",0.0473804245419574,"Step Length"
"1_2",1,"2",0.625401232688466,"Step Length"
"1_2",2,"2",0.372031679283772,"Step Length"
"1_2",3,"2",0.000905767851204655,"Step Length"
"1_2",4,"2",0.000756678673295627,"Step Length"
"1_2",5,"2",0.000904641503261516,"Step Length"
"1_2",1,"3",0.000362392099237648,"Step Length"
"1_2",2,"3",0.000248863367768258,"Step Length"
"1_2",3,"3",0.00667964688528918,"Step Length"
"1_2",4,"3",0.565016306703835,"Step Length"
"1_2",5,"3",0.42769279094387,"Step Length"
"1_2",1,"1",0.138037996336345,"Turning Angle"
"1_2",2,"1",0.105584439807895,"Turning Angle"
"1_2",3,"1",0.110936548552446,"Turning Angle"
"1_2",4,"1",0.172737246642383,"Turning Angle"
"1_2",5,"1",0.134817182013272,"Turning Angle"
"1_2",6,"1",0.0925868961109918,"Turning Angle"
"1_2",7,"1",0.101164655825966,"Turning Angle"
"1_2",8,"1",0.144135034710702,"Turning Angle"
"1_2",1,"2",0.48251552892266,"Turning Angle"
"1_2",2,"2",0.0278738436115375,"Turning Angle"
"1_2",3,"2",0.0113927700664025,"Turning Angle"
"1_2",4,"2",0.000949174515951188,"Turning Angle"
"1_2",5,"2",0.000413213455825122,"Turning Angle"
"1_2",6,"2",0.0112217621150238,"Turning Angle"
"1_2",7,"2",0.0436427866149257,"Turning Angle"
"1_2",8,"2",0.421990920697674,"Turning Angle"
"1_2",1,"3",0.000750747437809074,"Turning Angle"
"1_2",2,"3",0.0205182696833772,"Turning Angle"
"1_2",3,"3",0.0408737458091196,"Turning Angle"
"1_2",4,"3",0.43521121720581,"Turning Angle"
"1_2",5,"3",0.435587750284811,"Turning Angle"
"1_2",6,"3",0.0491594070470357,"Turning Angle"
"1_2",7,"3",0.0149092899195754,"Turning Angle"
"1_2",8,"3",0.00298957261246223,"Turning Angle"
"2_2",1,"1",0.0498326031515147,"Step Length"
"2_2",2,"1",0.24236989110785,"Step Length"
"2_2",3,"1",0.58900952479206,"Step Length"
"2_2",4,"1",0.0804111140535214,"Step Length"
"2_2",5,"1",0.0383768668950546,"Step Length"
"2_2",1,"2",0.603811847890063,"Step Length"
"2_2",2,"2",0.391823273798688,"Step Length"
"2_2",3,"2",0.000459864320227363,"Step Length"
"2_2",4,"2",0.00226262302095679,"Step Length"
"2_2",5,"2",0.001642390970065,"Step Length"
"2_2",1,"3",0.000365604867448557,"Step Length"
"2_2",2,"3",0.000190569464430003,"Step Length"
"2_2",3,"3",0.000633331580351556,"Step Length"
"2_2",4,"3",0.572886307082179,"Step Length"
"2_2",5,"3",0.425924187005591,"Step Length"
"2_2",1,"1",0.132460455161228,"Turning Angle"
"2_2",2,"1",0.104717580730338,"Turning Angle"
"2_2",3,"1",0.108187478400347,"Turning Angle"
"2_2",4,"1",0.140282869196823,"Turning Angle"
"2_2",5,"1",0.128838184522054,"Turning Angle"
"2_2",6,"1",0.117276390206606,"Turning Angle"
"2_2",7,"1",0.118295187162564,"Turning Angle"
"2_2",8,"1",0.149941854620039,"Turning Angle"
"2_2",1,"2",0.444589640330486,"Turning Angle"
"2_2",2,"2",0.0352567071010486,"Turning Angle"
"2_2",3,"2",0.00283106812335992,"Turning Angle"
"2_2",4,"2",0.0210762117479384,"Turning Angle"
"2_2",5,"2",0.00361151151589137,"Turning Angle"
