"id","bin","behav","prop","param"
"3_1",4,"2",0.421686245069593,"Turning Angle"
"3_1",5,"2",0.293141259352188,"Turning Angle"
"3_1",6,"2",0.207889362836327,"Turning Angle"
"3_1",7,"2",0.0161031089736851,"Turning Angle"
"3_1",8,"2",0.00364274246458439,"Turning Angle"
"3_1",1,"3",0.369362587291117,"Turning Angle"
"3_1",2,"3",0.0441698009384764,"Turning Angle"
"3_1",3,"3",0.0282464298260513,"Turning Angle"
"3_1",4,"3",0.0126334265758092,"Turning Angle"
"3_1",5,"3",0.120749815986487,"Turning Angle"
"3_1",6,"3",0.0606721602322686,"Turning Angle"
"3_1",7,"3",0.0286317623503567,"Turning Angle"
"3_1",8,"3",0.335534016799434,"Turning Angle"
"4_1",1,"1",0.0878172056411366,"Step Length"
"4_1",2,"1",0.249779916263494,"Step Length"
"4_1",3,"1",0.458127668094126,"Step Length"
"4_1",4,"1",0.163174463939876,"Step Length"
"4_1",5,"1",0.0411007460613681,"Step Length"
"4_1",1,"2",0.682601217059418,"Step Length"
"4_1",2,"2",0.299989652067438,"Step Length"
"4_1",3,"2",0.00152760696103876,"Step Length"
"4_1",4,"2",0.00163498823096978,"Step Length"
"4_1",5,"2",0.0142465356811352,"Step Length"
"4_1",1,"3",0.002907189558424,"Step Length"
"4_1",2,"3",0.00329754737745127,"Step Length"
"4_1",3,"3",0.00281711329733124,"Step Length"
"4_1",4,"3",0.380951036262613,"Step Length"
"4_1",5,"3",0.61002711350418,"Step Length"
"4_1",1,"1",0.135178207069978,"Turning Angle"
"4_1",2,"1",0.134424908401086,"Turning Angle"
"4_1",3,"1",0.162525956671139,"Turning Angle"
"4_1",4,"1",0.161510202295808,"Turning Angle"
"4_1",5,"1",0.115787238112829,"Turning Angle"
"4_1",6,"1",0.119602424774941,"Turning Angle"
"4_1",7,"1",0.103061229472345,"Turning Angle"
"4_1",8,"1",0.0679098332018737,"Turning Angle"
"4_1",1,"2",0.231303877477878,"Turning Angle"
"4_1",2,"2",0.0281008979185183,"Turning Angle"
"4_1",3,"2",0.0246852613800801,"Turning Angle"
"4_1",4,"2",0.0186108259850881,"Turning Angle"
"4_1",5,"2",0.115215287718971,"Turning Angle"
"4_1",6,"2",0.0536174638621505,"Turning Angle"
"4_1",7,"2",0.138291960041848,"Turning Angle"
"4_1",8,"2",0.390174425615466,"Turning Angle"
"4_1",1,"3",0.0030104139174111,"Turning Angle"
"4_1",2,"3",0.00449024301979386,"Turning Angle"
"4_1",3,"3",0.171480752564002,"Turning Angle"
"4_1",4,"3",0.372387959640641,"Turning Angle"
"4_1",5,"3",0.290459925663452,"Turning Angle"
"4_1",6,"3",0.153684290170458,"Turning Angle"
"4_1",7,"3",0.00328946636263474,"Turning Angle"
"4_1",8,"3",0.00119694866160768,"Turning Angle"
"5_1",1,"1",0.499264880411049,"Step Length"
"5_1",2,"1",0.482360500659538,"Step Length"
"5_1",3,"1",0.0137466626770285,"Step Length"
"5_1",4,"1",0.00372271124205672,"Step Length"
"5_1",5,"1",0.000905245010327612,"Step Length"
"5_1",1,"2",0.0101795309119864,"Step Length"
"5_1",2,"2",0.00386687453431515,"Step Length"
"5_1",3,"2",0.154159183598425,"Step Length"
"5_1",4,"2",0.491111714515912,"Step Length"
"5_1",5,"2",0.340682696439361,"Step Length"
"5_1",1,"3",0.00738782690918367,"Step Length"
"5_1",2,"3",0.194430514269339,"Step Length"
"5_1",3,"3",0.784513831216383,"Step Length"
"5_1",4,"3",0.0105405289953233,"Step Length"
"5_1",5,"3",0.00312729860977139,"Step Length"
"5_1",1,"1",0.314439533166659,"Turning Angle"
"5_1",2,"1",0.00301174379569166,"Turning Angle"
