"time","track_length"
0.7699398,"1k"
0.4557424,"1k"
0.7203389,"1k"
0.7451326,"1k"
0.9222696,"1k"
53.26613,"5k"
54.75671,"5k"
48.10828,"5k"
58.23177,"5k"
51.72023,"5k"
253.3829,"10k"
262.684,"10k"
279.3638,"10k"
312.5446,"10k"
250.6832,"10k"
