"","id","SL.mu","absTA.mu","SL.sd","absTA.sd"
"LL...1","1_1",1.8200581337165,0.824910579999754,2.87819923907971,0.611224844794586
"LH...2","1_1",0.968610057995192,2.65496595148204,0.465697300822764,0.204467661193033
"HL...3","1_1",22.4723130400815,0.769549110049948,191.071735780317,0.276069773710661
"HH...4","1_1",9.587931120427,3.01792234476396,677.674602836559,0.224363376338354
"LL...5","2_1",1.78491670133288,0.73082129754996,2.63858121439814,0.388722424869737
"LH...6","2_1",1.24216527014722,2.55627644502718,0.836728927700674,0.274799020541989
"HL...7","2_1",22.3704900086541,0.53503379229288,157.052875039895,0.111020739070986
"HH...8","2_1",20.4464152122839,1.77615483907799,128.327125881048,0.277750743190734
"LL...9","3_1",2.14175483139682,0.935353068161918,2.52968503439927,0.387179208837958
"LH...10","3_1",1.52177160357998,2.67033872030427,1.69016735968948,0.141391544159924
"HL...11","3_1",26.7936947917914,0.164451204107316,187.618727664851,0.0116347549750794
"HH...12","3_1",23.1538188496669,1.07551507061796,153.784506306552,0.326487705967977
"LL...13","4_1",1.86222310659877,0.962079470480747,2.42991072386079,0.694963586792673
"LH...14","4_1",0.987753221105043,2.78989571150601,0.458394366145496,0.123311386133195
"HL...15","4_1",19.9452995656421,0.658996916532334,107.259414399314,0.204056756624889
"HH...16","4_1",20.114358749114,2.26671317130087,481.581698947924,0.933747661104345
"LL...17","5_1",1.82227129618619,1.00705888438848,2.55609508518229,0.642647378144179
"LH...18","5_1",0.866195426481521,2.78272442645736,0.37964710086097,0.134234604522483
"HL...19","5_1",21.265995147745,0.647446262016891,161.077098624332,0.170695077356871
"HH...20","5_1",21.8130794801909,2.09375947693778,235.161947613668,0.177666581155309
"LL...21","1_2",1.70019725961467,1.13687193109552,2.06513291835361,0.66523998208999
"LH...22","1_2",0.900271173401803,2.85628117031635,0.392517017884266,0.0742853799226787
"HL...23","1_2",22.0274081368338,0.645177748832744,169.399660406702,0.188812976553956
"HH...24","1_2",18.0424398099267,2.2820151170214,194.474602059979,0.262644736492941
"LL...25","2_2",1.85227383988433,1.03565147301195,2.5005648769882,0.645636759303096
"LH...26","2_2",1.02501943457552,2.79976718603143,0.529894258218491,0.10623641656155
"HL...27","2_2",21.7230236784822,0.611730917072431,164.121358604843,0.181516810075634
"HH...28","2_2",19.4488844346079,2.14449334020998,181.330345690306,0.228608561862581
"LL...29","3_2",1.87860937843073,1.01165510184174,2.56118275487265,0.660646605790002
"LH...30","3_2",0.986852637478618,2.78746282517484,0.472494382953216,0.114425598156528
"HL...31","3_2",22.4297786509513,0.683023043755764,172.397941589231,0.233639026333053
"HH...32","3_2",19.778584404154,2.45623028411197,210.550555164519,0.203283376779674
"LL...33","4_2",1.92257464054065,1.15097158729222,2.1980389582951,0.67539734421419
"LH...34","4_2",0.930453599154856,2.86892454416676,0.385326869630951,0.069469060309101
"HL...35","4_2",22.7830394111533,0.410737921470763,167.507928302839,0.0790178478295144
"HH...36","4_2",20.5677083585566,1.58808559623883,165.188702584021,0.306588822601455
"LL...37","5_2",1.88760959994955,0.453449228574107,2.15995441681337,0.101283302841942
"LH...38","5_2",1.57299196656793,2.24108460817874,1.57646768089436,0.476769214499576
"HL...39","5_2",21.4335331795586,0.691939943832079,160.616564730463,0.232833658272253
"HH...40","5_2",16.3374036579949,2.36402256969724,375.935324571029,0.497144265811146
