"time","track_length"
3.75594,"1k"
3.176048,"1k"
3.64772,"1k"
3.959704,"1k"
1.92926,"1k"
9.921018,"5k"
10.35656,"5k"
10.75313,"5k"
8.788425,"5k"
11.12242,"5k"
19.68265,"10k"
19.13812,"10k"
15.9161,"10k"
21.78172,"10k"
17.13346,"10k"
159.6823,"50k"
202.9926,"50k"
157.2764,"50k"
154.2128,"50k"
156.3778,"50k"
