"","id","state","prop","mu.SL","mu.abs.TA","sd.SL","sd.abs.TA","state_ordered"
"1","1_1",1,0.108,1.16490773155991,1.84450794682166,1.00302522209802,0.995346730201837,1
"2","1_1",2,0.179,2.23287521254708,1.7426665402148,2.45490907029497,0.950816713683561,2
"3","1_1",3,0.713,11.2241795199621,1.29970290466112,13.960141263503,0.946700883202392,3
"4","2_1",1,0.32,1.53174867672899,1.73352013639847,1.36661525789853,1.00319798671758,1
"5","2_1",2,0.165,4.87100264356903,1.76842798521965,7.78471742825224,0.95910429878467,2
"6","2_1",3,0.515,10.7162597720292,1.27953524946187,12.8784519706689,0.897316544382409,3
"7","3_1",1,0.382,2.09130042657842,1.63274115970275,1.76243747660156,0.944268394466456,1
"8","3_1",2,0.347,8.5699424220548,1.51120480202786,12.6123441587623,0.99521166226076,2
"9","3_1",3,0.271,9.46823057496119,1.23590899669227,11.7004700261369,0.896130741718171,3
"10","4_1",1,0.198,2.01983491830262,1.76051269362307,2.1080332480392,0.998264710495666,1
"11","4_1",2,0.383,4.62755298664703,1.58010469173741,8.34012676668912,1.03881915917254,2
"12","4_1",3,0.419,11.7451114182216,1.28358935316919,13.7137289108035,0.930169089377044,3
"13","5_1",1,0.108,1.92242139489521,1.80721948790056,2.30269575009684,0.965724754733745,1
"14","5_1",2,0.475,6.31074593840841,1.47993502908032,9.80502484174008,0.987646871868781,2
"15","5_1",3,0.417,13.3465885609948,1.1802134909342,14.1249143631771,0.903967043306824,3
"16","1_2",1,0.093,0.932162709522174,1.79773398976723,0.606742672261688,0.951261237889042,1
"17","1_2",2,0.232,1.91921374181336,1.7196887129748,1.84570110002473,0.949348068539352,2
"18","1_2",3,0.675,10.5245929748128,1.34427239092374,13.2562245877911,0.952087574664158,3
"19","2_2",1,0.129,1.24423560589101,1.97984729804967,0.907424627245289,0.995488958300995,1
"20","2_2",2,0.189,1.98405717698593,1.63593750039786,1.70225598667438,0.953947444311647,2
"21","2_2",3,0.682,9.77682921101769,1.31006053381926,12.271418587208,0.921915387960909,3
"22","3_2",1,0.333,1.75833286423032,1.78895347894543,1.5938644084372,0.991505860449269,1
"23","3_2",2,0.204,5.5765560893753,1.5459343964148,8.0935368466115,1.01955856071442,2
"24","3_2",3,0.463,13.0755494408633,1.13548942491472,13.9595074029369,0.87411504830888,3
"25","4_2",1,0.18,1.35886156309012,1.843065872782,1.12865862817241,0.946057492028314,1
"26","4_2",2,0.139,2.61906456329998,1.56102736844843,2.22918209004593,0.977973638579577,2
"27","4_2",3,0.681,10.8443761790393,1.29201057821407,12.7063791113625,0.938159359895741,3
"28","5_2",1,0.353,1.78827808097726,1.70520981158617,1.53018428985669,1.00025168157793,1
"29","5_2",2,0.151,4.24482811466137,1.5499728574444,5.09378607609969,0.974255330910418,2
"30","5_2",3,0.496,11.3608735285617,1.26633301792286,14.263092701811,0.918977886826649,3
