"","id","state","prop","mu.SL","mu.abs.TA","sd.SL","sd.abs.TA","state_ordered"
"1","1_1",1,0.133,1.61666173585586,1.79723954015931,2.55238748365082,1.01833485683664,1
"2","1_1",2,0.401,3.58203076339942,1.66919143129238,7.29190437963733,1.03562514069054,2
"3","1_1",3,0.466,14.1303316818363,1.07609347034845,14.0544106154106,0.848284025131565,3
"4","2_1",1,0.462,2.42256308050156,1.71728319240771,4.10592321333979,0.98870832366977,1
"5","2_1",2,0.443,4.53790279424427,1.76714626710379,9.26419580068753,0.988029624025541,2
"6","2_1",3,0.095,16.8206927820231,0.960605375303919,14.8690950116104,0.873720584777669,3
"7","3_1",1,0.159,1.75060986807339,1.80652516326369,2.18239381047672,1.03742211209908,1
"8","3_1",2,0.648,4.22825054375642,1.71811856094658,8.79707116766883,1.01135908004,2
"9","3_1",3,0.193,15.598888293742,0.924764292928621,13.7989378511723,0.772748028990936,3
"10","4_1",1,0.256,2.22188416253363,1.78689170633054,2.81806018721718,0.95429792678639,1
"11","4_1",2,0.547,4.04280795131306,1.64022310431083,7.76109384511116,0.98405104394006,2
"12","4_1",3,0.197,16.9707633987041,0.935839135020961,13.6578402662309,0.749125987214675,3
"13","5_1",1,0.407,1.84552251929153,1.8289520907385,3.17390136630285,1.01263652614518,1
"14","5_1",2,0.395,4.18959225571065,1.74846789539776,8.96793081026468,1.01092779283207,2
"15","5_1",3,0.198,15.1056833268578,0.905183079202385,13.5589854247033,0.728298769606099,3
"16","1_2",1,0.296,0.949850332241401,1.8387951601132,0.788139366668358,0.995535340483807,1
"17","1_2",2,0.257,2.55923431400275,1.60670515529848,1.78253593111482,0.978152757090827,2
"18","1_2",3,0.447,9.0118269906031,1.38792184125901,12.1025767503,0.955177543578808,3
"19","2_2",1,0.59,1.40517703246901,1.84014481858057,1.24598245218861,0.974979579981808,1
"20","2_2",2,0.317,6.07904095932832,1.51424454370614,9.15421076680336,1.00275157012995,2
"21","2_2",3,0.093,19.1567470032527,0.733470137020532,14.6248839153965,0.622756004252138,3
"22","3_2",1,0.238,0.953024702939508,2.04431515259023,0.706862365062944,0.938777116503294,1
"23","3_2",2,0.282,2.26150476072583,1.71459818305625,1.71390059051396,0.94018375070169,2
"24","3_2",3,0.48,10.3171410531021,1.24382569208898,12.3838684655213,0.960834053617811,3
"25","4_2",1,0.348,0.980842946649781,1.93457959016253,0.803248108261437,0.954283295685909,1
"26","4_2",2,0.292,2.44060171138194,1.71386585376728,1.99715356504161,0.913439255207637,2
"27","4_2",3,0.36,11.6920053084917,1.24293450232686,14.4502578192441,0.971949272622318,3
"28","5_2",1,0.294,0.925237577697564,1.93790738853181,0.652763792810564,0.979978078513276,1
"29","5_2",2,0.289,2.07846010443097,1.77098080858008,1.7721017763388,1.00536782302262,2
"30","5_2",3,0.417,9.5585846285684,1.27251241573209,11.6197560602513,0.932566254228877,3
"31","1_3",1,0.331,0.937073236833527,1.96613251480803,0.756836238550544,0.954670403651223,1
"32","1_3",2,0.289,2.30922782790083,1.7075382115181,1.60694576731757,0.925521082913244,2
"33","1_3",3,0.38,12.5909086791193,1.17752262494868,13.5140978512175,0.874112516344485,3
"34","2_3",1,0.367,1.02954433298138,1.98976352574228,0.732373360229093,0.93040025042629,1
"35","2_3",2,0.208,2.48627088802042,1.64428452908981,1.6261398388074,0.887080484870096,2
"36","2_3",3,0.425,13.5853854381778,1.11650246077395,14.0425203292024,0.896482837893831,3
"37","3_3",1,0.295,0.938527826877513,1.91746531564209,0.692664068183526,0.995838335868219,1
"38","3_3",2,0.297,2.38602025539118,1.5845054154039,2.06729334465568,0.959693851231203,2
"39","3_3",3,0.408,12.765702613894,1.2013506082718,13.8751281951058,0.910358813675646,3
"40","4_3",1,0.164,0.947281558263615,1.99638893813028,0.775997254687937,0.950377144878039,1
"41","4_3",2,0.429,1.95908179100071,1.70189180838432,1.50054999258087,0.951147652498871,2
"42","4_3",3,0.407,13.4343481547603,1.20077241445045,14.3671642365347,0.913828083260159,3
"43","5_3",1,0.338,0.930036430909276,1.92284263179138,0.721252352322571,0.984339513402839,1
"44","5_3",2,0.294,2.63207793900069,1.6103858435137,2.19882160112627,0.934060558293683,2
"45","5_3",3,0.368,12.2566616266527,1.25620937722414,13.9194709232236,0.938742942103578,3
