"time","track_length"
6.558633,"1k"
6.548412,"1k"
6.44166,"1k"
6.605375,"1k"
6.659815,"1k"
27.57294,"5k"
25.29985,"5k"
24.54753,"5k"
25.16218,"5k"
24.71672,"5k"
50.44612,"10k"
49.36659,"10k"
49.38856,"10k"
49.16698,"10k"
49.82916,"10k"
268.0851,"50k"
288.6053,"50k"
260.7706,"50k"
248.1338,"50k"
249.1787,"50k"
