"","id","SL.mu","absTA.mu","SL.sd","absTA.sd"
"LL...1","1_1",1.14317645156421,1.67905116972371,0.80563617963928,0.875467143520763
"LH...2","1_1",0.0311670979304017,3.03233779822711,0.00164863750931329,0.0506559302614669
"HL...3","1_1",10.3216212550377,0.183519856302938,12.7434048355279,0.0271778822848051
"HH...4","1_1",7.71608398132227,1.77961012383569,19.9654597485223,0.807428905819279
"LL...5","2_1",0.705919884676362,1.68427824712943,0.295952578538421,1.07514256897111
"LH...6","2_1",0.0191109155323931,3.02897627498571,0.000603785535462183,0.0694606753696587
"HL...7","2_1",9.79803879106331,0.162371536655272,12.6173024426203,0.0160106884722215
"HH...8","2_1",5.80906740253784,1.82425718821305,17.4652571835599,0.86241426331348
"LL...9","3_1",0.985810765858963,1.43278832772961,0.630633546861249,1.02538521903006
"LH...10","3_1",0.094596485343424,2.95467313788727,0.0164934428978342,0.0286092002985347
"HL...11","3_1",10.1754079262746,0.14964877327381,11.623229499175,0.0142985933417741
"HH...12","3_1",7.42416788470543,1.68841560102709,17.6558505627479,0.755425435870719
"LL...13","4_1",1.03095810146115,1.65810431340452,0.698030881434559,0.973302486068038
"LH...14","4_1",0.0267079755092604,3.02298478726248,0.00125684299266307,0.055893802872916
"HL...15","4_1",10.6100563293864,0.14639804644081,13.4864824509711,0.012420536603637
"HH...16","4_1",5.56417270851892,1.82786021165154,15.1716780696301,0.854771155213537
"LL...17","5_1",1.11890761308422,1.79563503132455,0.752150292319979,0.936196753403754
"LH...18","5_1",0.0148500127045168,3.08346078137381,0.000371304876549781,0.166163935219167
"HL...19","5_1",10.9126732137999,0.150276778889958,12.5087388357337,0.0142790473099496
"HH...20","5_1",6.4112883289817,1.68512988000882,15.3893875703997,0.843952728272126
"LL...21","1_2",0.975724610754209,1.64434263765422,0.599471684017276,1.0152810330758
"LH...22","1_2",0.0187291341140921,3.04658583021769,0.000577127053074599,0.0404680616305265
"HL...23","1_2",10.3984947895561,0.157257291888502,12.7534707565399,0.0143108713549414
"HH...24","1_2",6.35233254855628,1.70143310479542,19.3402338401289,0.845804645819423
"LL...25","2_2",0.994359353797493,1.51435880160086,0.6286607684498,1.03762143472723
"LH...26","2_2",0.0355413292908007,3.00140789492705,0.00242163476662325,0.034105390199839
"HL...27","2_2",10.125502301701,0.19788772452535,13.2974043223944,0.0274132422769413
"HH...28","2_2",5.63670869708776,1.91882106771743,18.3605514261812,0.761937769198867
"LL...29","3_2",1.10395955423659,1.61681669768735,0.762404506515896,1.009028982883
"LH...30","3_2",0.030569682420821,3.01880991602513,0.00160409050019869,0.0393406093695305
"HL...31","3_2",10.407834901633,0.185762297277475,12.5155486139507,0.0204936834454382
"HH...32","3_2",7.09405812901082,1.74297003116841,19.3097192930403,0.802427344471285
"LL...33","4_2",1.07600387016721,1.3819457611616,0.690674658012533,1.05474242231978
"LH...34","4_2",0.0741062172646608,2.9605496566134,0.0100662655864509,0.0323628238241523
"HL...35","4_2",10.3137436209016,0.170104470512921,12.534878702136,0.0172320154123973
"HH...36","4_2",6.17962742149263,1.75785363010359,17.1391899272095,0.831817129205761
"LL...37","5_2",0.701689407792285,1.57671928541924,0.369440108104718,1.07688956386133
"LH...38","5_2",0.0298965964497943,3.00123093253739,0.0015337341279663,0.0402219532229445
"HL...39","5_2",10.2413857104218,0.137137280472793,12.7558702748405,0.0110999134282331
"HH...40","5_2",5.36334951900773,1.7254353816126,16.505537230133,0.887586316862193
"LL...41","1_3",0.969998897218211,1.567134033884,0.61196411919848,1.05720574070285
