"time","track_length"
3.979938,"1k"
2.622283,"1k"
3.530358,"1k"
2.105275,"1k"
2.45122,"1k"
14.78163,"5k"
14.04115,"5k"
12.53857,"5k"
12.2951,"5k"
10.6705,"5k"
23.81351,"10k"
27.09042,"10k"
26.65096,"10k"
25.95342,"10k"
27.3412,"10k"
190.6939,"50k"
188.1318,"50k"
180.1537,"50k"
184.6179,"50k"
227.1438,"50k"
