"id","bin","behav","prop","var"
"3_1",4,"2",0.0173526520905795,"Turning Angle"
"3_1",5,"2",0.0683270438652475,"Turning Angle"
"3_1",6,"2",0.0700726156303573,"Turning Angle"
"3_1",7,"2",0.132392056225055,"Turning Angle"
"3_1",8,"2",0.253035479294761,"Turning Angle"
"3_1",1,"3",0.00682999335542578,"Turning Angle"
"3_1",2,"3",0.14145275276426,"Turning Angle"
"3_1",3,"3",0.0831883283927494,"Turning Angle"
"3_1",4,"3",0.20199309166417,"Turning Angle"
"3_1",5,"3",0.161178939787808,"Turning Angle"
"3_1",6,"3",0.200791974884027,"Turning Angle"
"3_1",7,"3",0.106974251834595,"Turning Angle"
"3_1",8,"3",0.0975906673169647,"Turning Angle"
"4_1",1,"1",0.361893204064315,"Step Length"
"4_1",2,"1",0.394299346507278,"Step Length"
"4_1",3,"1",0.242108294426336,"Step Length"
"4_1",4,"1",0.00130611258119056,"Step Length"
"4_1",5,"1",0.000393042420880056,"Step Length"
"4_1",1,"2",0.000899714349911841,"Step Length"
"4_1",2,"2",0.000999829670310591,"Step Length"
"4_1",3,"2",0.175708192820512,"Step Length"
"4_1",4,"2",0.537254407655574,"Step Length"
"4_1",5,"2",0.285137855503691,"Step Length"
"4_1",1,"3",0.00615164939756333,"Step Length"
"4_1",2,"3",0.0243344737896472,"Step Length"
"4_1",3,"3",0.913295101875195,"Step Length"
"4_1",4,"3",0.0286984031492807,"Step Length"
"4_1",5,"3",0.0275203717883134,"Step Length"
"4_1",1,"1",0.206607158634428,"Turning Angle"
"4_1",2,"1",0.0791549351448167,"Turning Angle"
"4_1",3,"1",0.096790033708069,"Turning Angle"
"4_1",4,"1",0.121840251256677,"Turning Angle"
"4_1",5,"1",0.108753614786624,"Turning Angle"
"4_1",6,"1",0.0927611513142153,"Turning Angle"
"4_1",7,"1",0.11316031270091,"Turning Angle"
"4_1",8,"1",0.18093254245426,"Turning Angle"
"4_1",1,"2",0.00062425165556685,"Turning Angle"
"4_1",2,"2",0.0476466780664909,"Turning Angle"
"4_1",3,"2",0.119546722138017,"Turning Angle"
"4_1",4,"2",0.294333967199326,"Turning Angle"
"4_1",5,"2",0.29832840616581,"Turning Angle"
"4_1",6,"2",0.205032050934234,"Turning Angle"
"4_1",7,"2",0.0307319850873814,"Turning Angle"
"4_1",8,"2",0.00375593875317392,"Turning Angle"
"4_1",1,"3",0.0302307192903639,"Turning Angle"
"4_1",2,"3",0.323053028414978,"Turning Angle"
"4_1",3,"3",0.54006376943763,"Turning Angle"
"4_1",4,"3",0.051669147325701,"Turning Angle"
