"time","track_length"
0.0554654995600382,"1k"
0.0335754990577698,"1k"
0.0311491807301839,"1k"
0.0330571850140889,"1k"
0.0288519024848938,"1k"
0.0489972352981567,"5k"
0.0538995345433553,"5k"
0.0481315493583679,"5k"
0.0463415702184041,"5k"
0.0500271638234456,"5k"
0.0720089157422384,"10k"
0.0726454695065816,"10k"
0.0665161331494649,"10k"
0.0791508674621582,"10k"
0.06936803261439,"10k"
0.256753520170848,"50k"
0.295275831222534,"50k"
0.335122299194336,"50k"
0.331838881969452,"50k"
0.327393583456675,"50k"
