"X1","X2","X3","id"
1,3,2,"1_1"
1,3,2,"2_1"
3,1,2,"3_1"
1,3,2,"4_1"
3,1,2,"5_1"
3,2,1,"1_2"
2,3,1,"2_2"
2,3,1,"3_2"
2,1,3,"4_2"
2,3,1,"5_2"
