"time","track_length"
0.0343833168347677,"1k"
0.0275140682856242,"1k"
0.0299774686495463,"1k"
0.0255812843640645,"1k"
0.025370732943217,"1k"
0.0505204995473226,"5k"
0.0514325141906738,"5k"
0.048760998249054,"5k"
0.04571533203125,"5k"
0.0450427532196045,"5k"
0.0652999639511108,"10k"
0.0762905518213908,"10k"
0.0744246641794841,"10k"
0.0724271496136983,"10k"
0.0707103808720907,"10k"
0.269539614518483,"50k"
0.251209346453349,"50k"
0.247184832890828,"50k"
0.275824817021688,"50k"
0.305713633696238,"50k"
