"","mean_1","mean_2","mean_3","sd_1","sd_2","sd_3"
"1_1",0.961771763430936,1.50227375483538,17.3540634827958,0.620335408807783,1.33883342493876,17.861208143304
"2_1",0.686215688551781,1.72921666728453,22.9215862297141,0.503312088046181,1.63791783433263,16.9045448518875
"3_1",0.827448474261778,1.52449659215813,17.0088603108509,0.657969754485528,1.37666689040246,17.9544536523252
"4_1",0.707675536195074,2.26845983124464,23.8106162291354,0.686368652437244,1.88049209378561,12.6792271699377
"5_1",0.984880660768215,1.47517751086665,16.5382936388781,0.728586320896529,1.46774509384079,16.6761396464225
"1_2",0.710115287685886,1.76851896177365,19.654907065045,0.566434274751947,1.69124804087844,18.3203266376843
"2_2",0.808247620113374,1.68791201078564,21.0230605193141,0.717527294341467,1.56408058394,15.2811001541988
"3_2",0.825935851571629,1.96037401018728,15.0780023529129,0.640473065399349,1.65031233616544,15.6807872719794
"4_2",0.85152322474277,2.32215004576379,17.7408166723413,0.73495225971359,1.69584235354024,16.5682007049388
"5_2",0.927267048689248,1.89714584015555,16.9220570974902,0.854089198176141,1.59545558425636,15.1058417938841
"1_3",0.895623719300522,2.05555766163021,17.4067372806502,0.828947289995116,1.76088223528816,15.2659573540025
"2_3",0.761791897343245,1.73881465403464,17.8557188966097,0.550346712194995,1.61875042380327,16.0106307254811
"3_3",0.77998006737836,1.99353871542524,17.2197609376945,0.741933060200164,1.54826962200834,15.6620176487626
"4_3",0.854299380172775,1.73002199145354,17.9531145733897,0.717835809851931,1.61283092218064,16.595536223074
"5_3",0.867748846701976,2.14177738296245,16.6540898200591,0.779356771013779,1.50116370230176,16.9727757631681
"1_4",0.88737786097369,1.8424510338893,19.2954881725371,0.834853722677115,1.6889177856313,15.4503531315509
"2_4",0.825521298773727,1.82039048671602,16.3481080492373,0.740930763518211,1.66819745441985,16.3231794853814
"3_4",0.776241596566633,1.90192341168262,17.5828040258374,0.667507378336046,1.6606767145115,17.0605133779984
"4_4",0.955226021605947,1.85786436053815,15.3080083987166,0.795798179994961,1.77366842011014,15.0211834487877
"5_4",0.761486786214878,1.61692264022035,16.4420191134461,0.602607965440899,1.52562671618151,16.5948069814163
